global_step,sample_cursor,coverage_fraction,loss,grad_norm,learning_rate,processed_tokens,supervised_tokens,update_seconds,tokens_per_second,nvml_peak_bytes,allocated_peak_bytes,reserved_peak_bytes
1,16,0.125,2.1249030979198027,1.241485834121704,0.0,6951,5924,8.09290429810062,858.9005558401794,24509022208,18365019136,23408410624
2,32,0.25,1.6947511416401355,1.2444459199905396,0.0001,6157,5319,7.582584138028324,811.9923086802683,24521605120,19398280704,23420993536
3,48,0.375,1.7334642338139568,1.145313024520874,9.504844339512095e-05,6292,5288,7.695206898264587,817.6518296628209,24521605120,19398280704,23420993536
4,64,0.5,1.7007501905422182,0.9469310641288757,8.117449009293668e-05,6133,5292,8.679184616077691,706.6332001555733,24521605120,19398280704,23420993536
5,80,0.625,1.7315194432780456,0.6562965512275696,6.112604669781572e-05,7549,6303,8.861075258813798,851.9282118150702,26188840960,19801870336,25088229376
6,96,0.75,1.696379452475276,0.5140751600265503,3.887395330218429e-05,6588,5852,8.683360951952636,758.6924045255253,26188840960,19801870336,25088229376
7,112,0.875,1.6917006558417675,0.38750603795051575,1.8825509907063327e-05,7571,6366,8.845020916778594,855.9617971776827,26188840960,19801870336,25088229376
8,128,1.0,1.7767507023775497,0.3590392470359802,4.951556604879048e-06,8081,6918,8.783428069204092,920.0280273636097,26188840960,19801870336,25088229376
