window,group_id,prompt_id,classification,mixed_subtype,correct_count,reward_mean,reward_std,reward_min,reward_max,reward_std_zero,mean_abs_advantage,mean_square_advantage,max_abs_advantage,nonzero_trajectory_fraction,nonzero_group,sum_A_correct,sum_A_wrong,correct_A_positive,wrong_A_negative,discriminative,separation,abs_surrogate,clip_fraction,ratio_abs_deviation,ratio_min,ratio_max,selection_source,advantage_source
2,s4_formal_dynamic_20260909T155929_18b61a:f11e6a178791:encounter:00000019,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:3720,mixed,mixed_parsed_wrong,2,0.5088413313031197,0.45884136465835906,0.05,0.9679300874471666,0,0.8660236597061157,0.7499970882163911,0.8664906620979309,1.0,1,1.7320473194122314,-1.7320473194122314,2,2,1,1.7320473194122314,0.8660236448049545,0.0,0.0,1.0,1.0,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/update/old.npz
2,s4_formal_dynamic_20260909T155929_18b61a:f11e6a178791:encounter:00000022,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:4460,mixed,mixed_unparseable_only,3,0.7373923748731613,0.42573907423748036,0.0,0.9860879004001618,0,0.7499889954924583,0.749996952478295,1.499977946281433,1.0,1,1.4999780356884003,-1.499977946281433,3,1,1,1.9999706248442333,0.7499890103936195,0.0,0.0,1.0,1.0,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/update/old.npz
2,s4_formal_dynamic_20260909T155929_18b61a:f11e6a178791:encounter:00000023,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:17435,mixed,mixed_parsed_wrong,2,0.515395724773407,0.465397961850105,0.05,0.9828321635723115,0,0.8660195767879486,0.7499971175486184,0.8698169589042664,1.0,1,1.7320390939712524,-1.732039213180542,2,2,1,1.7320391535758972,0.8656637519598007,0.75,0.00434701144695282,0.9908095002174377,1.002052903175354,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/update/old.npz
2,s4_formal_dynamic_20260909T155929_18b61a:f11e6a178791:encounter:00000025,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:27823,mixed,mixed_parsed_wrong,1,0.28229427933692935,0.4023454941191589,0.05,0.9791771173477174,0,0.7499983683228493,0.7499967590009422,1.4999967813491821,1.0,1,1.4999967813491821,-1.499996691942215,1,3,1,1.9999956786632538,0.7512077987194061,0.5,0.002773687243461609,0.9982524514198303,1.0049042701721191,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/update/old.npz
2,s4_formal_dynamic_20260909T155929_18b61a:f11e6a178791:encounter:00000026,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:40839,mixed,mixed_unparseable_only,2,0.4882059536874295,0.48820781086024,0.0,0.9783163070678712,0,0.8660205453634262,0.7499972910505734,0.8693987131118774,1.0,1,1.73204106092453,-1.7320411205291748,2,2,1,1.7320410907268524,0.8660637885332108,1.0,0.007419109344482422,0.9831384420394897,1.00606107711792,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/update/old.npz
2,s4_formal_dynamic_20260909T155929_18b61a:f11e6a178791:encounter:00000027,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:15073,mixed,mixed_unparseable_only,3,0.7269090302288533,0.4197042730384163,0.0,0.9763840883970262,0,0.7499570772051811,0.7499968939670503,1.4999141693115234,1.0,1,1.499914139509201,-1.4999141693115234,3,1,1,1.9998855491479237,0.7496470585465431,0.75,0.005651012063026428,0.9896678328514099,1.0068519115447998,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0001/update/old.npz
3,s4_formal_dynamic_20260909T155929_18b61a:fdef74fac4a3:encounter:00000032,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:42068,mixed,mixed_parsed_wrong,3,0.6500000000000001,0.34641016151377546,0.05,0.8500000000000001,0,0.7499980628490448,0.7499961555053396,1.4999961853027344,1.0,1,1.4999960660934448,-1.4999961853027344,3,1,1,1.9999948740005493,0.7499980479478836,0.0,0.0,1.0,1.0,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/update/old.npz
3,s4_formal_dynamic_20260909T155929_18b61a:fdef74fac4a3:encounter:00000034,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:43030,mixed,mixed_parsed_wrong,2,0.5150304637849331,0.46503168135910916,0.05,0.9815658658742905,0,0.8660214692354202,0.7499971125727223,0.8688240647315979,1.0,1,1.7320428490638733,-1.7320430278778076,2,2,1,1.7320429384708405,0.866021454334259,0.0,0.0,1.0,1.0,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/update/old.npz
3,s4_formal_dynamic_20260909T155929_18b61a:fdef74fac4a3:encounter:00000035,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:563,mixed,mixed_parsed_wrong,1,0.28418355584144595,0.4056178170145277,0.05,0.9867342233657838,0,0.7499984130263329,0.7499968037043299,1.4999967813491821,1.0,1,1.4999967813491821,-1.4999968707561493,1,3,1,1.9999957382678986,0.7499984130263329,0.0,0.0,1.0,1.0,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/update/old.npz
3,s4_formal_dynamic_20260909T155929_18b61a:fdef74fac4a3:encounter:00000038,cmexam_train:fadb22c89beb1b7115dc36460ba792eb96b7b972:48470,mixed,mixed_parsed_wrong,1,0.28321592211723334,0.4039418262410744,0.05,0.9828636884689332,0,0.7499983906745911,0.7499967813526354,1.4999967813491821,1.0,1,1.4999967813491821,-1.4999967813491821,1,3,1,1.9999957084655762,0.7499983981251717,0.0,0.0,1.0,1.0,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/selection.json,/data/WSH/medical-post-train-artifacts/runs/s4_formal_dynamic_20260909T155929_18b61a/windows/0002/update/old.npz
