global_step,sample_cursor,coverage_fraction,loss,grad_norm,learning_rate,processed_tokens,supervised_tokens,update_seconds,tokens_per_second,nvml_peak_bytes,allocated_peak_bytes,reserved_peak_bytes
53,848,0.0424,1.4290054586244667,0.22275666892528534,9.996708128110947e-05,6821,5750,6.298068295698613,1083.0304912156214,29273751552,26278154240,28171042816
54,864,0.0432,1.5249781702597116,0.223382830619812,9.996221126793765e-05,6974,5820,6.455977967008948,1080.2391265333038,29273751552,26278154240,28171042816
55,880,0.044,1.6061262987959894,0.19312196969985962,9.995700556669052e-05,8731,7564,8.380371869076043,1041.8392090949794,29273751552,26278154240,28171042816
56,896,0.0448,1.1153541306654613,0.235043004155159,9.995146421234434e-05,6350,5076,5.566925466991961,1140.6655321058513,29273751552,26278154240,28171042816
57,912,0.0456,1.391201592839823,0.23643700778484344,9.994558724213054e-05,6565,5562,6.172759183682501,1063.5438390913378,29273751552,26278154240,28171042816
58,928,0.0464,1.2853169626034662,0.2327168732881546,9.99393746955356e-05,6879,6102,6.937676438130438,991.5423501436383,29273751552,26278154240,28171042816
59,944,0.0472,1.4139618253329653,0.21616193652153015,9.993282661430057e-05,8213,7186,8.93520917603746,919.1726615674215,31769362432,28449269248,30666653696
60,960,0.048,1.397966845229417,0.25022831559181213,9.9925943042421e-05,6762,5608,6.712817048188299,1007.3267231117188,31769362432,28449269248,30666653696
61,976,0.0488,1.6665499305129596,0.23172418773174286,9.991872402614648e-05,7773,6566,6.939194222912192,1120.158875843928,31769362432,28449269248,30666653696
62,992,0.0496,1.384466654609458,0.24692097306251526,9.991116961398043e-05,6693,5697,5.913767758291215,1131.7657834324466,31769362432,28449269248,30666653696
63,1008,0.0504,1.4629550395603956,0.22471553087234497,9.990327985667972e-05,7339,6419,6.89971207594499,1063.667573258098,31769362432,28449269248,30666653696
64,1024,0.0512,1.401967849783818,0.23795722424983978,9.989505480725439e-05,7166,5827,6.981038470286876,1026.4948446424366,31769362432,28449269248,30666653696
65,1040,0.052,1.4401732873845878,0.22256073355674744,9.988649452096718e-05,7522,6740,6.775395915843546,1110.1934253628779,31769362432,28449269248,30666653696
66,1056,0.0528,1.562512354009599,0.23765486478805542,9.987759905533331e-05,8188,6845,7.399336949922144,1106.5856380666858,31769362432,28449269248,30666653696
67,1072,0.0536,1.425338435431471,0.2554340958595276,9.986836847012e-05,6669,5443,5.833029133267701,1143.3167652060024,31769362432,28449269248,30666653696
68,1088,0.0544,1.339968244806541,0.23881150782108307,9.985880282734604e-05,6753,5872,6.820879265666008,990.0483115120232,31769362432,28449269248,30666653696
69,1104,0.0552,1.4621721414777347,0.22570805251598358,9.984890219128146e-05,7266,6147,6.5240490436553955,1113.7255332355523,31769362432,28449269248,30666653696
70,1120,0.056,1.6121780866083806,0.22099027037620544,9.983866662844705e-05,8469,7235,8.253915678709745,1026.0584587561327,31769362432,28449269248,30666653696
71,1136,0.0568,1.5583983824488432,0.24853375554084778,9.98280962076139e-05,6660,5825,6.331317788921297,1051.9137124429042,31769362432,28449269248,30666653696
72,1152,0.0576,1.4024174245874783,0.21791614592075348,9.981719099980299e-05,7713,6793,7.696042876690626,1002.2033561378319,31769362432,28449269248,30666653696
73,1168,0.0584,1.2488942807854826,0.25837594270706177,9.980595107828465e-05,6250,5241,5.603634478989989,1115.347552277627,31769362432,28449269248,30666653696
74,1184,0.0592,1.342369350947558,0.249259352684021,9.979437651857808e-05,6836,5729,6.63941454468295,1029.6088539123502,31769362432,28449269248,30666653696
75,1200,0.06,1.4708219837063081,0.2086421698331833,9.978246739845094e-05,8451,7378,7.471697440836579,1131.068283601935,31769362432,28449269248,30666653696
76,1216,0.0608,1.2648355166532785,0.24924390017986298,9.977022379791865e-05,6802,5739,5.915780103765428,1149.8060916210336,31769362432,28449269248,30666653696
77,1232,0.0616,1.312018061108343,0.2422129362821579,9.975764579924402e-05,7656,6352,7.470456936396658,1024.8369096004503,31769362432,28449269248,30666653696
78,1248,0.0624,1.496657987517253,0.22525423765182495,9.97447334869366e-05,8176,6818,7.495489390101284,1090.7893500319558,31769362432,28449269248,30666653696
79,1264,0.0632,1.328529564665839,0.2533060610294342,9.973148694775217e-05,7421,6295,6.676297513768077,1111.5442331166598,31769362432,28449269248,30666653696
80,1280,0.064,1.573252037149198,0.24165217578411102,9.971790627069204e-05,7467,6496,6.784045144915581,1100.6707414965053,31769362432,28449269248,30666653696
81,1296,0.0648,1.1440047511586744,0.25672727823257446,9.970399154700263e-05,6490,5271,6.107357481960207,1062.652713414932,31769362432,28449269248,30666653696
82,1312,0.0656,1.5193461369027246,0.2291404753923416,9.968974287017474e-05,7840,6751,7.208064449951053,1087.67062981148,31769362432,28449269248,30666653696
83,1328,0.0664,1.2779398224983174,0.26372030377388,9.967516033594295e-05,6629,5489,5.9016632828861475,1123.2426660502658,31769362432,28449269248,30666653696
84,1344,0.0672,1.5959411035085613,0.227198988199234,9.966024404228495e-05,7770,6864,7.653173357248306,1015.2651243214094,31769362432,28449269248,30666653696
85,1360,0.068,1.4177475155342982,0.25503650307655334,9.964499408942091e-05,7288,6320,6.942083976231515,1049.8288446168096,31769362432,28449269248,30666653696
86,1376,0.0688,1.1855524726979547,0.23129646480083466,9.962941057981284e-05,7479,6368,6.977969408966601,1071.801775225552,31769362432,28449269248,30666653696
87,1392,0.0696,1.3455975347958902,0.23790809512138367,9.961349361816384e-05,7222,6210,6.599019149783999,1094.405067795021,31769362432,28449269248,30666653696
88,1408,0.0704,1.3685025350322364,0.2502281963825226,9.959724331141739e-05,7215,6168,7.073524616193026,1020.000691519911,31769362432,28449269248,30666653696
89,1424,0.0712,1.4988197762980562,0.23248428106307983,9.958065976875671e-05,7788,6620,7.189571006223559,1083.235702555607,31769362432,28449269248,30666653696
90,1440,0.072,1.5220340543853363,0.2532186210155487,9.956374310160397e-05,6769,5870,6.189724185038358,1093.5866926610158,31769362432,28449269248,30666653696
91,1456,0.0728,1.4087536510255203,0.25833427906036377,9.954649342361952e-05,6515,5574,5.699548528995365,1143.0729937390972,31769362432,28449269248,30666653696
92,1472,0.0736,1.3920079509485739,0.23848991096019745,9.952891085070119e-05,7713,6379,7.0556745310314,1093.162668725383,31769362432,28449269248,30666653696
93,1488,0.0744,1.412266664175221,0.2338138073682785,9.951099550098349e-05,8195,6803,7.463221161160618,1098.051340438313,31769362432,28449269248,30666653696
94,1504,0.0752,1.4829144446536935,0.24185679852962494,9.949274749483671e-05,7997,6416,7.811422131955624,1023.7572448280831,31769362432,28449269248,30666653696
95,1520,0.076,1.3118000891274078,0.25633519887924194,9.947416695486633e-05,7066,5976,6.450214955024421,1095.4673680287058,31769362432,28449269248,30666653696
96,1536,0.0768,1.466244027240743,0.23846861720085144,9.9455254005912e-05,7663,6371,6.803307740949094,1126.3638647236874,31769362432,28449269248,30666653696
97,1552,0.0776,1.5472936359954994,0.23777998983860016,9.943600877504678e-05,7968,6814,7.368914742954075,1081.298980642808,31769362432,28449269248,30666653696
98,1568,0.0784,1.4261944393883828,0.2416602522134781,9.941643139157631e-05,7416,6133,6.894892298150808,1075.5788022952806,31769362432,28449269248,30666653696
99,1584,0.0792,1.5314311420290283,0.23939397931098938,9.939652198703784e-05,7757,6633,6.956032364163548,1115.147197986444,31769362432,28449269248,30666653696
100,1600,0.08,1.1727406182204292,0.2715601623058319,9.937628069519951e-05,6586,5340,6.099830708000809,1079.7020958895646,31769362432,28449269248,30666653696
101,1616,0.0808,1.2395076922022426,0.2555512487888336,9.935570765205927e-05,6890,5890,6.1399305067025125,1122.1625379112502,31769362432,28449269248,30666653696
102,1632,0.0816,1.5610231869429432,0.2540930211544037,9.933480299584413e-05,7206,6249,6.709535362198949,1073.993892423326,31769362432,28449269248,30666653696
103,1648,0.0824,1.5641754071635585,0.22236427664756775,9.93135668670091e-05,9008,7750,8.133460161276162,1107.523713325304,31769362432,28449269248,30666653696
104,1664,0.0832,1.629541632220125,0.26538562774658203,9.92919994082363e-05,7398,6190,7.141016686335206,1035.9869364479357,31769362432,28449269248,30666653696
105,1680,0.084,1.4839123826239333,0.24244780838489532,9.927010076443407e-05,7871,6510,6.873903254978359,1145.0553940076918,31769362432,28449269248,30666653696
106,1696,0.0848,1.4338845059870526,0.24630394577980042,9.924787108273586e-05,7369,6237,6.665954634081572,1105.4680693930784,31769362432,28449269248,30666653696
107,1712,0.0856,1.28487299781353,0.29197683930397034,9.92253105124993e-05,6008,5188,5.887952411081642,1020.3886819282741,31769362432,28449269248,30666653696
108,1728,0.0864,1.3681963307749416,0.26443928480148315,9.920241920530529e-05,7017,5933,6.721518017351627,1043.9606026325578,31769362432,28449269248,30666653696
109,1744,0.0872,1.2539702139752111,0.2482665479183197,9.917919731495681e-05,7043,6105,6.811194534879178,1034.033011967839,31769362432,28449269248,30666653696
110,1760,0.088,1.3179551712564799,0.26334652304649353,9.915564499747803e-05,7326,5787,6.544047286268324,1119.4906881819886,31769362432,28449269248,30666653696
111,1776,0.0888,1.5004061353733762,0.2477731853723526,9.913176241111319e-05,8013,6694,7.4829863589257,1070.8291603982545,31769362432,28449269248,30666653696
112,1792,0.0896,1.3717629307677226,0.267846941947937,9.910754971632554e-05,7052,5969,6.176555912010372,1141.736608631247,31769362432,28449269248,30666653696
113,1808,0.0904,1.4237470812500785,0.2447771579027176,9.908300707579632e-05,7079,6138,7.098799914121628,997.210808254753,31769362432,28449269248,30666653696
114,1824,0.0912,1.3278237434179203,0.2523137927055359,9.905813465442356e-05,7198,6075,6.423342699185014,1120.6003380316722,31769362432,28449269248,30666653696
115,1840,0.092,1.4273334427189752,0.2707318067550659,9.903293261932105e-05,6848,5786,6.453690000344068,1061.098379320189,31769362432,28449269248,30666653696
116,1856,0.0928,1.2349473177356847,0.25867563486099243,9.900740113981725e-05,6597,5672,5.828182871919125,1131.9136933374425,31769362432,28449269248,30666653696
117,1872,0.0936,1.45096576287434,0.24048958718776703,9.898154038745408e-05,7670,6479,7.149719068780541,1072.7694229961119,31769362432,28449269248,30666653696
118,1888,0.0944,1.393070885319748,0.26725953817367554,9.895535053598577e-05,7734,5857,7.031252161134034,1099.9463285857498,31769362432,28449269248,30666653696
119,1904,0.0952,1.419249552597135,0.24569983780384064,9.892883176137771e-05,7804,6464,7.616497745737433,1024.6179097692902,31769362432,28449269248,30666653696
120,1920,0.096,1.5384678178050983,0.24542264640331268,9.89019842418053e-05,7358,6360,6.899523637257516,1066.4504372833374,31769362432,28449269248,30666653696
121,1936,0.0968,1.360378183701813,0.25453096628189087,9.887480815765273e-05,8369,6340,8.21885256934911,1018.2686609090472,31769362432,28449269248,30666653696
122,1952,0.0976,1.4489991958502613,0.2541695833206177,9.88473036915117e-05,7492,6289,6.720785536337644,1114.7506432830787,31769362432,28449269248,30666653696
123,1968,0.0984,1.5749548114125562,0.22656002640724182,9.881947102818036e-05,8679,7601,8.23724857158959,1053.6285174073803,31769362432,28449269248,30666653696
124,1984,0.0992,1.2944999146922638,0.2532716989517212,9.879131035466187e-05,7038,6049,6.770816787146032,1039.461001715657,31769362432,28449269248,30666653696
125,2000,0.1,1.2807410164729376,0.2824972867965698,9.876282186016329e-05,6542,5178,5.82487326906994,1123.1145636657884,31769362432,28449269248,30666653696
126,2016,0.1008,1.4443102797238052,0.2454117387533188,9.873400573609421e-05,7271,6304,6.530716304201633,1113.3541347251748,31769362432,28449269248,30666653696
127,2032,0.1016,1.6250609346618248,0.24472087621688843,9.870486217606558e-05,7350,6236,6.48983187507838,1132.5408949690598,31769362432,28449269248,30666653696
128,2048,0.1024,1.6737236482689628,0.23041431605815887,9.867539137588827e-05,8146,7133,7.664923693053424,1062.7633524104833,31769362432,28449269248,30666653696
129,2064,0.1032,1.4183205642663754,0.2621898055076599,9.864559353357187e-05,8114,6281,7.250156635884196,1119.1482346519613,31769362432,28449269248,30666653696
130,2080,0.104,1.44143797543408,0.23972663283348083,9.861546884932331e-05,7649,6466,7.040012321900576,1086.503780143245,31769362432,28449269248,30666653696
131,2096,0.1048,1.4974258131881506,0.2626909911632538,9.858501752554547e-05,7109,6093,6.373734598048031,1115.3586473740443,31769362432,28449269248,30666653696
132,2112,0.1056,1.271330365084817,0.25243499875068665,9.855423976683595e-05,7000,6075,6.784390122164041,1031.7802888621602,31769362432,28449269248,30666653696
133,2128,0.1064,1.3622098572137928,0.26833295822143555,9.852313577998554e-05,7346,5845,7.350340122822672,999.4095344228771,31769362432,28449269248,30666653696
134,2144,0.1072,1.2633361596019328,0.2559662461280823,9.849170577397694e-05,6797,5831,6.4752191696316,1049.6941990593202,31769362432,28449269248,30666653696
135,2160,0.108,1.4322370828773259,0.25738295912742615,9.845994995998332e-05,6734,5865,6.315477123018354,1066.2693995765155,31769362432,28449269248,30666653696
136,2176,0.1088,1.4567237930580785,0.25927260518074036,9.842786855136688e-05,7383,6202,6.987893104087561,1056.5416342275357,31769362432,28449269248,30666653696
137,2192,0.1096,1.4581132356968278,0.2769163250923157,9.839546176367745e-05,6513,5591,5.922555725090206,1099.694169597839,31769362432,28449269248,30666653696
138,2208,0.1104,1.38627642629446,0.24208998680114746,9.836272981465107e-05,7658,6633,6.998582306783646,1094.2216100791138,31769362432,28449269248,30666653696
139,2224,0.1112,1.5271145548931389,0.26546066999435425,9.832967292420841e-05,7238,6063,6.579986670054495,1100.0022284148572,31769362432,28449269248,30666653696
140,2240,0.112,1.6972074651540214,0.23631379008293152,9.829629131445342e-05,7521,6700,6.7461286638863385,1114.861630235684,31769362432,28449269248,30666653696
141,2256,0.1128,1.4720078272611137,0.261076956987381,9.826258520967178e-05,7358,6247,6.638084571342915,1108.4522833235676,31769362432,28449269248,30666653696
142,2272,0.1136,1.4869009717533677,0.24936603009700775,9.822855483632941e-05,7867,6757,6.932528784964234,1134.7951438820585,31769362432,28449269248,30666653696
143,2288,0.1144,1.510484152176415,0.229786679148674,9.819420042307091e-05,8383,6978,7.509539772756398,1116.313416490901,31769362432,28449269248,30666653696
144,2304,0.1152,1.4041228915953203,0.24571585655212402,9.815952220071806e-05,7397,6396,6.99930842127651,1056.8186961892673,31769362432,28449269248,30666653696
145,2320,0.116,1.4639330742536734,0.23596912622451782,9.812452040226827e-05,7978,6861,7.93109566019848,1005.9139798347037,31769362432,28449269248,30666653696
146,2336,0.1168,1.292451865669879,0.2529294788837433,9.808919526289302e-05,7461,5986,6.954477887134999,1072.8339526108796,31769362432,28449269248,30666653696
147,2352,0.1176,1.4525748949234083,0.25714346766471863,9.805354701993623e-05,6809,5831,6.48229101812467,1050.400233646074,31769362432,28449269248,30666653696
148,2368,0.1184,1.469020008430546,0.2625179588794708,9.801757591291274e-05,7532,6446,6.768577702809125,1112.7891753202503,31769362432,28449269248,30666653696
149,2384,0.1192,1.7714560480610684,0.2476441115140915,9.798128218350662e-05,8318,7517,7.614890745375305,1092.3334658546098,31769362432,28449269248,30666653696
150,2400,0.12,1.4427765715722214,0.260835736989975,9.794466607556963e-05,7604,6497,7.449672488030046,1020.7160129815,31769362432,28449269248,30666653696
151,2416,0.1208,1.3644838005143651,0.2541865110397339,9.79077278351195e-05,7329,6306,6.818916215095669,1074.804231173146,31769362432,28449269248,30666653696
152,2432,0.1216,1.511288023933766,0.24922357499599457,9.787046771033836e-05,7532,6527,6.959469443187118,1082.2664085943152,31769362432,28449269248,30666653696
153,2448,0.1224,1.340394367956974,0.24319157004356384,9.783288595157098e-05,7534,6418,6.8316894909366965,1102.8018779241984,31769362432,28449269248,30666653696
154,2464,0.1232,1.3957622593240049,0.25511422753334045,9.77949828113232e-05,7556,6165,6.994172933977097,1080.3278774097212,31769362432,28449269248,30666653696
155,2480,0.124,1.3941808836207457,0.23673689365386963,9.77567585442601e-05,7655,6832,7.492448818869889,1021.6953342037816,31769362432,28449269248,30666653696
156,2496,0.1248,1.383422960402349,0.26155614852905273,9.77182134072044e-05,7436,6070,6.725754952989519,1105.6007915802502,31769362432,28449269248,30666653696
157,2512,0.1256,1.2716450320655792,0.27093538641929626,9.767934765913469e-05,7095,5887,6.103651976212859,1162.4188318158735,31769362432,28449269248,30666653696
158,2528,0.1264,1.2019200223418256,0.27897119522094727,9.764016156118368e-05,6455,5556,6.240017962176353,1034.4521504788534,31769362432,28449269248,30666653696
159,2544,0.1272,1.3464039040675724,0.25425365567207336,9.760065537663649e-05,8008,6454,7.2636703588068485,1102.4729378434263,31769362432,28449269248,30666653696
160,2560,0.128,1.313336142678605,0.24343152344226837,9.756082937092884e-05,7453,6219,6.702214024029672,1112.0205909985134,31769362432,28449269248,30666653696
161,2576,0.1288,1.424808743353152,0.23390311002731323,9.752068381164524e-05,7760,6772,7.180587840732187,1080.6914659522822,31769362432,28449269248,30666653696
162,2592,0.1296,1.4300423256821453,0.266344279050827,9.748021896851725e-05,7041,6052,6.488896963186562,1085.084266239036,31769362432,28449269248,30666653696
163,2608,0.1304,1.3484481041498468,0.24523262679576874,9.743943511342168e-05,7566,6188,6.852991255931556,1104.0434340918362,31769362432,28449269248,30666653696
164,2624,0.1312,1.0943985095414757,0.28357410430908203,9.739833252037868e-05,6617,5383,6.016813091933727,1099.7516291258735,31769362432,28449269248,30666653696
165,2640,0.132,1.2356691867518117,0.2575189769268036,9.735691146555002e-05,7227,6034,6.679598119109869,1081.9513196945265,31769362432,28449269248,30666653696
166,2656,0.1328,1.3747661389643735,0.2656375765800476,9.731517222723706e-05,6581,5686,5.774659804999828,1139.6342333970954,31769362432,28449269248,30666653696
167,2672,0.1336,1.539748725282292,0.2488195151090622,9.727311508587906e-05,7702,6532,7.230725508183241,1065.1766536128916,31769362432,28449269248,30666653696
168,2688,0.1344,1.2874049376148868,0.27713635563850403,9.723074032405121e-05,7176,6124,6.662487563677132,1077.0751812164663,31769362432,28449269248,30666653696
169,2704,0.1352,1.0428745469785596,0.2991994321346283,9.718804822646273e-05,6003,4907,5.261589802335948,1140.909919913349,31769362432,28449269248,30666653696
170,2720,0.136,1.6291196680119455,0.23407809436321259,9.714503907995496e-05,8767,7556,8.134212446864694,1077.7933398308537,31769362432,28449269248,30666653696
171,2736,0.1368,1.3075570697567547,0.24775056540966034,9.710171317349945e-05,7318,6552,6.937449055723846,1054.8545929807117,31769362432,28449269248,30666653696
172,2752,0.1376,1.3364780964255765,0.2814953923225403,9.705807079819602e-05,6367,5532,5.8876860700547695,1081.4095595862455,31769362432,28449269248,30666653696
173,2768,0.1384,1.3116239602058193,0.253822922706604,9.701411224727077e-05,8107,6609,7.4662571819499135,1085.8184767059884,31769362432,28449269248,30666653696
174,2784,0.1392,1.4475782682934906,0.2635795474052429,9.696983781607417e-05,7199,5893,6.238893620669842,1153.8904872731387,31769362432,28449269248,30666653696
175,2800,0.14,1.3305564138512536,0.26474499702453613,9.692524780207897e-05,7224,6157,7.101246882230043,1017.286135773864,31769362432,28449269248,30666653696
176,2816,0.1408,1.1773307127496888,0.286444753408432,9.688034250487833e-05,6168,5253,5.5655020428821445,1108.2558145654452,31769362432,28449269248,30666653696
177,2832,0.1416,1.2766755400601293,0.26595842838287354,9.683512222618377e-05,7048,5973,6.263528129085898,1125.244407743817,31769362432,28449269248,30666653696
178,2848,0.1424,1.4498329966260153,0.25986260175704956,9.6789587269823e-05,6846,6138,6.2836510869674385,1089.4939749597008,31769362432,28449269248,30666653696
179,2864,0.1432,1.3450146577881186,0.2675006091594696,9.674373794173818e-05,7224,6123,6.654683853965253,1085.551193494416,31769362432,28449269248,30666653696
180,2880,0.144,1.6135170560872223,0.2575984299182892,9.669757454998353e-05,7247,6460,6.778017017990351,1069.1917681476552,31769362432,28449269248,30666653696
181,2896,0.1448,1.5205129426712691,0.23226206004619598,9.665109740472347e-05,8113,7058,7.409588294103742,1094.9326302590935,31769362432,28449269248,30666653696
